,1st Flr SF,2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bsmt Full Bath,Bsmt Half Bath,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,Enclosed Porch,Fireplaces,Full Bath,Garage Area,Garage Cars,Garage Yr Blt,Gr Liv Area,Half Bath,Id,Kitchen AbvGr,Lot Area,Lot Frontage,Low Qual Fin SF,MS SubClass,Mas Vnr Area,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,PID,Pool Area,SalePrice,Screen Porch,TotRms AbvGrd,Total Bsmt SF,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold
10,483,504,0,2,0.0,0.0,96.0,387.0,0.0,0,0,1,264.0,1.0,1971.0,987,1,1044,1,1680,21.0,0,160,232.0,0,7,0,5,6,527451290,0,85400,0,4,483.0,0,1971,1971,2008
11,1208,0,0,2,0.0,0.0,815.0,393.0,0.0,0,0,2,632.0,2.0,2005.0,1208,0,2752,1,7488,64.0,0,20,0.0,0,2,58,5,7,906380150,0,183600,0,6,1208.0,105,2005,2005,2006
12,1288,728,0,4,0.0,0.0,0.0,0.0,0.0,0,1,1,576.0,2.0,1900.0,2016,0,807,1,26400,120.0,0,70,0.0,0,6,0,7,5,906226060,0,131000,0,7,0.0,0,1880,2007,2009
13,962,645,0,3,1.0,0.0,147.0,813.0,0.0,0,0,2,480.0,2.0,2000.0,1607,1,1177,1,2645,24.0,0,160,456.0,0,12,0,5,8,533236070,0,200000,0,7,960.0,169,1999,2000,2008
14,1361,0,0,3,0.0,0.0,1327.0,24.0,0.0,0,0,2,610.0,2.0,2007.0,1361,0,1480,1,9627,74.0,0,20,0.0,0,6,50,5,7,907418040,0,193000,0,6,1351.0,0,2007,2007,2008
15,1430,0,0,3,0.0,0.0,1430.0,0.0,0.0,0,0,2,624.0,2.0,2004.0,1430,0,324,1,10114,93.0,0,20,0.0,0,3,0,5,5,923202105,0,173500,0,7,1430.0,0,2004,2005,2010
16,624,720,0,4,0.0,0.0,624.0,0.0,0.0,96,0,1,513.0,3.0,1916.0,1344,0,1311,1,4571,34.0,0,70,0.0,0,5,0,5,5,902301140,0,98000,0,7,624.0,0,1916,1950,2008
17,1121,0,0,3,1.0,0.0,470.0,651.0,0.0,0,0,1,480.0,2.0,1963.0,1121,0,770,1,8816,80.0,0,20,0.0,0,6,80,6,5,905101490,0,139000,0,5,1121.0,0,1963,1963,2009
18,1285,0,0,3,0.0,0.0,660.0,0.0,0.0,0,1,1,528.0,2.0,1977.0,1285,1,2063,1,8197,71.0,0,20,148.0,0,4,0,5,6,905107140,0,143500,0,7,660.0,138,1977,1977,2007
19,764,783,0,3,0.0,0.0,732.0,24.0,0.0,0,0,2,614.0,2.0,2009.0,1547,1,69,1,8640,72.0,0,60,0.0,0,6,45,5,7,528458070,0,215200,0,7,756.0,169,2009,2009,2010
20,894,0,0,3,0.0,0.0,402.0,492.0,0.0,0,1,1,450.0,2.0,1968.0,894,0,2062,1,8724,109.0,0,20,0.0,0,5,0,5,5,905106150,0,129000,0,5,894.0,0,1968,1968,2007
21,1659,0,0,2,1.0,0.0,343.0,1158.0,0.0,0,1,2,499.0,2.0,2000.0,1659,0,351,1,5664,40.0,0,120,0.0,0,10,59,5,8,527131030,0,278000,0,5,1501.0,212,2000,2000,2009
22,1209,1044,0,3,0.0,0.0,1209.0,0.0,0.0,0,1,2,575.0,2.0,2005.0,2253,1,2393,1,12867,103.0,0,60,98.79773063640849,0,7,142,5,8,528142010,0,344133,0,8,1209.0,243,2005,2006,2006
23,1187,0,0,3,1.0,0.0,233.0,935.0,0.0,0,0,2,420.0,2.0,1992.0,1187,0,12,1,7980,68.87899941826643,0,20,0.0,500,3,21,7,6,527165230,0,185000,0,6,1168.0,483,1992,2007,2010
24,1056,0,0,3,1.0,0.0,0.0,1056.0,0.0,0,0,1,572.0,2.0,1955.0,1056,0,2339,1,34650,100.0,0,190,0.0,0,1,0,5,5,527250040,0,145000,0,5,1056.0,264,1955,1955,2006
25,1453,0,0,3,1.0,0.0,141.0,1312.0,0.0,0,1,2,530.0,2.0,1961.0,1453,0,624,1,10573,92.0,0,20,3.0,0,4,49,6,6,535104120,0,187500,288,6,1453.0,0,1961,1961,2009
26,894,0,0,3,1.0,0.0,224.0,553.0,117.0,0,1,1,336.0,1.0,1973.0,894,0,86,1,8450,65.0,0,20,0.0,0,4,144,8,5,532376160,0,138500,0,5,894.0,416,1965,2009,2010
27,1265,673,0,4,0.0,0.0,336.0,606.0,0.0,0,1,2,240.0,1.0,1937.0,1938,0,1534,1,11700,68.87899941826643,0,50,0.0,0,7,40,6,5,909277040,0,198000,0,7,942.0,0,1937,1995,2008
28,1034,957,0,4,0.0,0.0,957.0,0.0,0.0,133,0,2,0.0,0.0,1978.6775193798449,1991,0,2243,2,8250,75.0,0,190,0.0,0,6,0,6,5,911103060,0,119600,0,9,957.0,0,1895,2006,2007
29,672,252,0,3,0.0,0.0,672.0,0.0,0.0,0,1,1,576.0,2.0,2003.0,924,0,1957,1,8064,60.0,0,50,0.0,2000,7,0,7,5,535450190,0,122900,0,6,672.0,0,1949,2006,2007
30,2524,0,0,4,1.0,0.0,1420.0,1104.0,0.0,0,1,2,542.0,2.0,1981.0,2524,1,380,1,9600,80.0,0,20,0.0,0,7,120,5,8,527355150,0,278000,0,9,2524.0,474,1981,1981,2009
31,792,725,0,3,0.0,0.0,792.0,0.0,0.0,0,2,1,400.0,2.0,1931.0,1517,0,2860,1,11435,68.87899941826643,0,70,0.0,0,6,0,7,8,909276010,0,230000,0,7,792.0,0,1929,1950,2006
32,1494,0,0,2,1.0,0.0,0.0,437.0,1057.0,0,1,1,481.0,2.0,1995.0,1494,1,2517,1,9549,30.0,0,120,0.0,0,4,30,5,8,533250130,0,270000,216,6,1494.0,0,1995,1996,2006
33,948,0,0,2,0.0,0.0,507.0,441.0,0.0,0,0,1,410.0,2.0,1952.0,948,0,1933,1,10950,60.0,0,20,0.0,0,4,48,6,6,535302070,0,125000,0,5,948.0,0,1952,1952,2007
34,1718,0,0,3,1.0,0.0,417.0,1288.0,0.0,0,1,2,826.0,3.0,2007.0,1718,0,820,1,10637,79.0,0,20,336.0,0,9,44,5,8,906340110,0,297000,0,7,1705.0,208,2007,2008,2009
35,1142,0,0,2,0.0,0.0,160.0,0.0,0.0,64,1,1,384.0,1.0,1958.0,1142,0,675,1,9000,80.0,0,20,82.0,0,4,28,6,6,535426150,0,113500,0,5,160.0,0,1958,1958,2009
36,925,550,0,4,0.0,0.0,36.0,548.0,173.0,0,1,2,336.0,1.0,1977.0,1475,0,2910,1,2665,41.0,0,160,0.0,0,7,26,6,5,923225240,0,127000,0,6,757.0,104,1977,1977,2006
37,1844,0,0,3,0.0,0.0,1139.0,705.0,0.0,0,1,2,546.0,2.0,1977.0,1844,0,21,1,11751,105.0,0,20,480.0,0,1,122,6,6,527358140,0,190000,0,7,1844.0,0,1977,1977,2010
38,1242,0,0,3,0.0,0.0,326.0,916.0,0.0,0,1,1,528.0,2.0,1973.0,1242,1,1873,1,9600,80.0,0,20,320.0,0,9,0,6,7,534177210,0,175500,0,6,1242.0,0,1973,1973,2007
39,990,0,0,3,1.0,0.0,570.0,420.0,0.0,0,0,1,384.0,1.0,1995.0,990,0,2125,1,8428,60.0,0,20,0.0,0,7,0,7,5,907135050,0,146000,0,5,990.0,256,1994,1994,2007
40,1256,0,0,3,1.0,0.0,136.0,830.0,290.0,0,0,1,276.0,1.0,1965.0,1256,1,1489,1,9937,75.0,0,20,0.0,0,6,68,6,5,908102260,0,147500,0,6,1256.0,736,1965,1965,2008
41,2076,0,0,2,1.0,0.0,690.0,1386.0,0.0,0,1,2,850.0,3.0,2006.0,2076,1,2383,1,13891,107.0,0,20,98.79773063640849,0,9,229,5,10,528110050,0,465000,0,7,2076.0,216,2006,2006,2006
42,1110,0,0,1,1.0,0.0,0.0,1097.0,0.0,0,1,1,602.0,2.0,1978.0,1110,0,983,1,9101,68.87899941826643,0,85,104.0,0,7,30,6,5,923275040,0,165500,0,4,1097.0,303,1978,1978,2009
43,1050,745,0,4,0.0,0.0,1050.0,0.0,0.0,0,0,2,352.0,1.0,1954.0,1795,0,1325,1,12150,81.0,0,50,335.0,0,11,0,5,5,902406090,0,131500,0,7,1050.0,0,1954,1954,2008
44,1040,0,0,3,1.0,0.0,134.0,906.0,0.0,0,0,1,384.0,1.0,1965.0,1040,0,1378,1,11200,70.0,0,20,0.0,0,2,0,5,5,905102170,0,129500,0,5,1040.0,0,1965,1965,2008
45,983,890,0,4,0.0,0.0,398.0,210.0,0.0,207,2,1,786.0,2.0,1935.0,1873,1,1537,1,9670,100.0,0,70,40.0,0,6,0,6,8,909281110,0,257076,0,9,608.0,0,1935,1950,2008
46,984,620,0,3,0.0,0.0,156.0,408.0,420.0,0,0,2,660.0,2.0,1977.0,1604,0,905,1,10998,60.0,0,50,0.0,0,7,68,5,5,909101140,0,117000,0,6,984.0,0,1941,1960,2009
47,851,651,0,3,0.0,0.0,776.0,0.0,0.0,112,1,1,270.0,1.0,1931.0,1502,1,1532,1,7200,60.0,0,70,0.0,0,2,0,6,7,909275050,0,149000,0,6,776.0,0,1931,2000,2008
48,1063,0,0,3,1.0,0.0,412.0,354.0,290.0,164,0,1,280.0,1.0,1954.0,1063,0,132,1,9920,80.0,0,20,110.0,0,2,0,5,5,534475100,0,128000,0,6,1056.0,0,1954,1954,2010
49,764,862,0,2,0.0,0.0,764.0,0.0,0.0,0,0,2,474.0,2.0,2003.0,1626,1,1078,1,2448,36.0,0,160,106.0,0,10,27,5,7,528188090,0,155000,0,6,764.0,0,2003,2004,2008
50,768,756,0,2,0.0,0.0,403.0,353.0,0.0,0,0,2,440.0,2.0,2000.0,1524,1,2511,1,2998,68.87899941826643,0,160,513.0,0,6,32,5,6,533221080,0,166000,0,4,756.0,0,2000,2000,2006
51,1328,653,0,4,1.0,0.0,500.0,622.0,0.0,0,2,2,576.0,2.0,1981.0,1981,0,912,1,7804,65.0,0,50,0.0,0,12,44,3,4,909250220,0,135000,0,7,1122.0,431,1928,1950,2009
52,1392,1392,0,5,1.0,0.0,133.0,790.0,469.0,0,2,3,564.0,2.0,1978.0,2784,1,2351,1,16692,80.0,0,60,184.0,2000,7,112,5,7,527356020,519,250000,440,12,1392.0,0,1978,1978,2006
53,546,546,0,3,0.0,0.0,370.0,176.0,0.0,0,0,1,0.0,0.0,1978.6775193798449,1092,1,330,1,1476,21.0,0,160,0.0,0,3,26,7,4,923226250,0,76000,0,5,546.0,200,1970,1970,2010
54,1575,0,0,2,0.0,0.0,216.0,0.0,0.0,0,1,1,400.0,2.0,1951.0,1575,1,2586,1,10170,75.0,0,20,522.0,0,6,0,6,6,535305120,0,155000,0,5,216.0,0,1951,1951,2006
55,663,689,0,4,0.0,0.0,292.0,371.0,0.0,0,0,1,299.0,1.0,1969.0,1352,1,224,1,9364,80.0,0,60,143.0,0,3,36,7,6,905106140,0,158000,0,7,663.0,379,1969,1969,2010
56,600,600,0,2,1.0,0.0,190.0,368.0,42.0,0,0,2,480.0,2.0,2004.0,1200,1,98,1,2544,24.0,0,160,0.0,0,2,172,5,7,533212020,0,149500,0,4,600.0,0,2004,2005,2010
57,936,0,0,2,0.0,0.0,450.0,486.0,0.0,160,0,1,240.0,1.0,1954.0,936,0,2565,1,9888,82.0,0,20,0.0,0,3,0,6,5,534479300,0,121000,0,5,936.0,0,1954,1975,2006
58,1040,0,0,3,0.0,1.0,0.0,85.0,955.0,0,0,1,293.0,1.0,1953.0,1040,0,1934,1,7942,68.0,0,20,0.0,0,6,0,7,6,535304170,0,136000,0,6,1040.0,0,1953,1953,2007
59,916,720,0,3,0.0,0.0,778.0,138.0,0.0,0,1,2,386.0,2.0,1996.0,1636,1,997,1,15038,68.87899941826643,0,60,0.0,0,11,84,5,6,527107010,0,173000,0,7,916.0,168,1996,1996,2008
60,1164,1106,0,4,0.0,0.0,628.0,524.0,0.0,0,1,2,671.0,3.0,1999.0,2270,1,64,1,11764,92.0,0,60,348.0,0,4,57,7,8,528382020,0,290000,0,9,1152.0,132,1999,2007,2010
61,1184,1426,0,4,0.0,0.0,1120.0,64.0,0.0,0,1,2,550.0,2.0,2007.0,2610,1,1799,1,9000,75.0,0,60,0.0,0,8,364,5,8,528458130,0,303477,0,11,1184.0,208,2007,2007,2007
62,1483,0,0,1,1.0,0.0,328.0,1092.0,0.0,0,2,1,690.0,2.0,1977.0,1483,1,230,1,20062,68.87899941826643,0,20,0.0,0,4,0,7,7,905109170,0,270000,0,4,1420.0,496,1977,2001,2010
63,960,780,0,2,0.0,0.0,576.0,360.0,0.0,236,1,1,225.0,1.0,1920.0,1740,0,1295,1,7308,81.0,0,50,0.0,0,6,0,5,5,902109160,0,122250,0,6,936.0,0,1920,1950,2008
64,1382,0,0,3,0.0,1.0,727.0,172.0,483.0,0,0,1,350.0,1.0,1955.0,1382,0,638,1,8750,70.0,0,20,0.0,0,7,0,5,5,535178120,0,153000,0,6,1382.0,280,1955,1955,2009
65,1120,0,0,3,0.0,0.0,914.0,206.0,0.0,0,0,1,0.0,0.0,1978.6775193798449,1120,0,2278,1,8402,70.0,0,20,0.0,0,12,30,5,5,923202134,0,147000,0,6,1120.0,0,2007,2007,2007
66,567,531,0,2,1.0,0.0,285.0,246.0,0.0,0,1,1,216.0,1.0,1930.0,1098,0,2202,1,4000,63.0,0,70,0.0,0,6,0,8,7,909252150,0,148500,0,5,531.0,0,1930,1995,2007
67,976,732,0,3,0.0,0.0,976.0,0.0,0.0,0,0,2,380.0,2.0,2004.0,1708,0,2833,1,3363,32.0,0,160,117.0,0,4,40,5,7,908188150,0,130000,0,7,976.0,0,2004,2004,2006
68,1802,0,0,3,0.0,0.0,1802.0,0.0,0.0,0,1,2,843.0,3.0,2006.0,1802,1,1707,1,13615,94.0,0,20,510.0,0,6,105,5,9,528150040,0,372000,0,7,1802.0,158,2006,2006,2007
69,1506,0,0,2,0.0,0.0,1346.0,16.0,0.0,0,1,2,440.0,2.0,2005.0,1506,0,2428,1,3013,43.0,0,120,145.0,0,4,20,5,7,528228565,0,213490,0,6,1362.0,142,2005,2005,2006
70,1508,0,0,1,1.0,0.0,162.0,1346.0,0.0,0,2,1,572.0,2.0,2009.0,1508,0,242,1,17485,44.0,0,20,96.0,0,1,0,5,7,905453080,0,308030,0,5,1508.0,0,2009,2010,2010
71,2032,0,0,3,1.0,0.0,1140.0,700.0,0.0,192,0,3,786.0,3.0,1996.0,2032,0,1564,1,23730,68.87899941826643,0,20,668.0,0,9,46,5,7,914453045,0,300000,0,7,1840.0,0,1996,1997,2008
72,1194,0,0,3,0.0,1.0,0.0,655.0,0.0,192,1,1,539.0,2.0,1954.0,1194,0,2613,1,8910,79.0,0,20,0.0,0,7,0,6,6,535403150,0,159500,0,6,655.0,0,1959,1959,2006
73,970,739,0,3,0.0,0.0,970.0,0.0,0.0,0,0,2,380.0,2.0,2004.0,1709,0,2832,1,2522,24.0,0,160,50.0,0,4,40,5,7,908188140,0,137500,0,7,970.0,0,2004,2004,2006
74,1616,0,0,3,0.0,0.0,1616.0,0.0,0.0,0,0,2,834.0,3.0,2005.0,1616,0,2459,1,8688,73.0,0,20,228.0,0,4,59,5,7,528439030,0,232000,0,7,1616.0,208,2005,2005,2006
75,768,0,0,1,0.0,0.0,768.0,0.0,0.0,84,0,1,440.0,2.0,1930.0,768,0,1360,1,6291,68.87899941826643,0,30,0.0,0,7,0,6,6,903452025,0,93850,0,4,768.0,0,1930,1950,2008
76,872,0,0,2,0.0,0.0,872.0,0.0,0.0,116,1,1,322.0,1.0,1924.0,872,0,2723,1,17529,68.87899941826643,0,30,65.0,0,4,0,5,5,905200380,0,105000,0,5,872.0,0,1924,1950,2006
77,520,0,0,1,0.0,0.0,520.0,0.0,0.0,87,0,1,240.0,1.0,1920.0,520,0,1350,1,6324,60.0,0,30,0.0,0,5,0,6,4,903235100,0,68500,0,4,520.0,49,1927,1950,2008
78,1105,1169,0,5,0.0,0.0,662.0,443.0,0.0,0,0,2,480.0,2.0,1960.0,2274,0,136,2,11600,80.0,0,90,361.0,0,1,0,5,5,535106190,0,154300,0,12,1105.0,0,1960,1960,2010
79,936,665,176,3,0.0,0.0,936.0,0.0,0.0,0,0,2,0.0,0.0,1978.6775193798449,1601,0,2235,1,7288,50.0,0,50,0.0,0,9,0,7,5,910201050,0,129850,0,6,936.0,0,1925,2003,2007
80,616,616,0,3,0.0,0.0,448.0,168.0,0.0,143,0,1,480.0,2.0,1920.0,1232,0,1993,1,4571,35.0,0,70,0.0,0,6,0,7,5,902301130,0,114000,0,6,616.0,280,1910,1950,2007
81,2234,0,0,1,1.0,0.0,312.0,1904.0,0.0,0,1,2,1166.0,3.0,2009.0,2234,0,367,1,17423,63.0,0,20,748.0,0,7,60,5,9,527214050,0,501837,0,9,2216.0,0,2008,2009,2009
82,876,540,0,4,0.0,0.0,876.0,0.0,0.0,194,1,1,720.0,3.0,1949.0,1416,1,1309,1,12665,100.0,0,50,0.0,0,6,0,8,5,902300215,0,153900,0,7,876.0,418,1915,1950,2008
83,864,0,0,3,0.0,0.0,624.0,240.0,0.0,0,0,1,576.0,2.0,1986.0,864,0,402,1,9000,60.0,0,20,0.0,0,7,0,7,4,527425110,0,130000,0,5,864.0,200,1971,2006,2009
84,1189,0,0,2,1.0,0.0,325.0,864.0,0.0,0,0,2,392.0,2.0,1997.0,1189,0,1592,1,4500,32.0,0,120,197.0,0,4,122,5,6,923203140,0,160500,0,4,1189.0,0,1997,1997,2008
85,1666,0,0,2,1.0,0.0,1251.0,415.0,0.0,0,1,2,575.0,2.0,2006.0,1666,0,2409,1,6373,48.0,0,120,572.0,0,6,75,5,9,528186110,0,310090,0,6,1666.0,228,2006,2006,2006
86,1200,0,0,2,1.0,0.0,343.0,833.0,0.0,0,0,2,555.0,2.0,2003.0,1200,0,539,1,10083,67.0,0,20,98.79773063640849,0,8,41,5,7,531371050,0,184900,0,5,1176.0,0,2003,2003,2009
87,928,0,0,2,0.0,0.0,551.0,377.0,0.0,156,0,1,252.0,1.0,1956.0,928,0,1940,1,13300,70.0,0,20,0.0,0,6,0,7,5,535327200,0,132000,0,4,928.0,261,1956,2000,2007
88,1336,0,0,3,0.0,1.0,588.0,553.0,147.0,0,1,2,502.0,2.0,1969.0,1336,0,588,1,9600,80.0,0,20,128.0,650,8,11,5,5,534129370,0,163000,0,6,1288.0,312,1969,1969,2009
89,600,600,0,2,0.0,0.0,320.0,280.0,0.0,0,0,2,480.0,2.0,2004.0,1200,1,96,1,3215,30.0,0,160,120.0,0,4,172,5,7,533210060,0,155000,0,4,600.0,0,2004,2004,2010
90,1427,0,0,4,0.0,1.0,599.0,828.0,0.0,0,0,2,516.0,2.0,1969.0,1427,0,1187,1,11104,68.87899941826643,0,80,0.0,0,5,0,6,6,534127210,0,183000,216,7,1427.0,0,1969,1969,2008
91,1212,780,0,3,1.0,0.0,98.0,762.0,0.0,0,2,2,608.0,2.0,1996.0,1992,1,2154,1,15295,68.87899941826643,0,60,254.0,0,6,32,5,7,907280090,0,211000,0,7,860.0,225,1996,2002,2007
92,754,786,0,3,1.0,0.0,122.0,36.0,596.0,0,0,2,495.0,2.0,1994.0,1540,1,550,1,9109,70.0,0,60,0.0,0,10,32,5,7,531452260,0,184000,0,6,754.0,140,1994,1994,2009
93,1535,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,2,400.0,2.0,1979.0,1535,0,811,2,7018,64.0,0,90,0.0,0,6,0,5,5,906226100,0,118858,0,8,0.0,0,1979,1979,2009
94,1152,0,0,3,1.0,0.0,138.0,1014.0,0.0,0,1,1,484.0,2.0,1964.0,1152,0,124,1,14112,68.87899941826643,0,80,86.0,0,4,0,7,5,534403410,0,180500,0,6,1152.0,227,1964,1964,2010
95,1151,0,0,2,1.0,0.0,1081.0,60.0,0.0,0,0,2,484.0,2.0,2006.0,1151,0,1836,1,3523,80.0,0,120,30.0,0,2,60,5,8,533206060,0,166000,0,5,1141.0,0,2006,2007,2007
96,1138,0,0,3,0.0,1.0,550.0,588.0,0.0,0,1,1,480.0,2.0,1960.0,1138,0,779,1,15312,88.0,0,80,54.0,0,3,0,5,6,905200350,0,148000,140,6,1138.0,0,1960,1960,2009
97,1074,0,0,2,0.0,0.0,250.0,438.0,206.0,0,1,1,396.0,2.0,1966.0,1074,0,1886,1,7450,74.0,0,20,0.0,0,1,72,5,5,534276180,0,124000,0,6,894.0,0,1956,1956,2007
98,1561,0,0,2,1.0,0.0,408.0,1153.0,0.0,0,1,2,556.0,2.0,2005.0,1561,0,1724,1,7313,60.0,0,120,246.0,0,8,47,5,9,528186090,0,277500,0,6,1561.0,203,2005,2005,2007
99,1358,1368,0,4,0.0,0.0,815.0,527.0,0.0,168,1,2,725.0,3.0,1995.0,2726,1,2450,1,10019,83.0,0,60,397.0,0,6,169,5,8,528358030,0,350000,0,9,1342.0,307,1995,1995,2006
100,1884,0,0,2,1.0,0.0,547.0,1337.0,0.0,0,1,2,670.0,3.0,2004.0,1884,0,1013,1,15401,53.0,0,20,296.0,0,9,76,5,9,527214030,0,387000,0,7,1884.0,214,2004,2004,2008
101,605,0,0,2,1.0,0.0,180.0,348.0,0.0,144,0,1,0.0,0.0,1978.6775193798449,605,0,2084,1,9098,58.0,0,30,0.0,0,7,0,7,4,905476170,0,86000,0,5,528.0,0,1920,2002,2007
102,1671,0,0,3,1.0,0.0,0.0,1044.0,382.0,0,1,3,550.0,2.0,1976.0,1671,0,1184,1,16280,103.0,0,20,0.0,0,5,90,9,8,533350120,0,290000,0,6,1426.0,280,1976,2007,2008
103,797,0,0,2,0.0,0.0,245.0,0.0,0.0,94,0,1,0.0,0.0,1978.6775193798449,797,0,728,1,9392,72.0,0,30,0.0,0,9,36,3,3,902477130,0,44000,0,5,245.0,0,1900,1950,2009
104,804,1157,0,3,1.0,0.0,114.0,690.0,0.0,0,1,2,560.0,2.0,2001.0,1961,1,950,1,12209,71.0,0,60,0.0,0,6,192,5,6,914474070,0,215000,0,7,804.0,125,2001,2002,2009
105,1193,0,0,2,1.0,0.0,191.0,962.0,0.0,0,0,2,501.0,2.0,1972.0,1193,0,2524,1,13110,79.0,0,190,144.0,0,7,153,6,5,534125210,0,146500,0,6,1153.0,140,1972,1972,2006
106,673,709,0,3,1.0,0.0,32.0,641.0,0.0,0,0,2,490.0,2.0,2000.0,1382,1,2513,1,2651,68.87899941826643,0,160,0.0,0,4,50,5,7,533223080,0,165000,0,6,673.0,153,2000,2000,2006
107,1664,862,0,5,0.0,0.0,0.0,168.0,546.0,0,1,2,216.0,1.0,1916.0,2526,0,2028,1,8520,60.0,0,50,0.0,0,8,15,7,6,903427040,0,136000,0,10,714.0,88,1916,1950,2007
108,1390,0,0,1,1.0,0.0,595.0,1110.0,0.0,0,2,1,550.0,2.0,1957.0,1390,1,2309,1,39384,68.87899941826643,0,20,902.0,0,10,189,6,6,526303060,0,252000,0,4,1705.0,0,1957,1957,2006
109,764,862,0,2,0.0,0.0,764.0,0.0,0.0,0,0,2,474.0,2.0,2003.0,1626,1,51,1,2628,36.0,0,160,106.0,0,6,27,5,7,528188120,0,175500,0,6,764.0,0,2003,2003,2010
110,868,690,0,3,0.0,0.0,269.0,421.0,0.0,0,1,1,400.0,2.0,1939.0,1558,1,699,1,6406,57.0,0,70,0.0,0,10,36,6,5,902106010,0,150000,182,7,690.0,0,1939,1950,2009
111,1422,0,0,3,0.0,0.0,978.0,0.0,0.0,36,1,1,286.0,1.0,1960.0,1422,0,1881,1,12342,68.87899941826643,0,20,0.0,600,8,0,5,5,534252110,0,139900,0,6,978.0,0,1960,1978,2007
112,1128,445,0,3,0.0,0.0,1078.0,0.0,0.0,0,1,2,360.0,2.0,1930.0,1573,0,1345,1,6240,52.0,0,50,0.0,0,6,0,7,5,903232090,0,162900,0,8,1078.0,0,1930,1992,2008
113,1116,0,0,3,0.0,0.0,1116.0,0.0,0.0,0,0,1,440.0,2.0,1962.0,1116,1,166,1,10000,87.0,0,20,261.0,0,2,0,6,6,535457010,0,160000,385,5,1116.0,0,1962,1962,2010
114,660,0,0,2,0.0,0.0,0.0,0.0,0.0,100,0,1,0.0,0.0,1978.6775193798449,660,0,781,1,9000,68.87899941826643,0,20,0.0,0,6,0,2,2,905228050,0,63900,0,5,0.0,0,1947,1950,2009
115,1707,0,0,3,0.0,0.0,308.0,832.0,0.0,0,1,2,479.0,2.0,1978.0,1707,0,379,1,11088,80.0,0,20,144.0,0,5,0,5,6,527354200,0,184000,0,7,1140.0,0,1978,1998,2009
116,1466,0,0,3,0.0,0.0,1290.0,176.0,0.0,0,2,1,528.0,2.0,1959.0,1466,1,2818,1,17755,134.0,0,20,132.0,0,11,140,4,5,908102320,0,149900,100,6,1466.0,0,1959,1959,2006
