,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,Id,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,PID,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,SalePrice,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,Bsmt Cond Num,Bsmt Qual Num,Garage Cond Num,Garage Qual Num,Exter Cond Num,Exter Qual Num,Heating QC Num,Kitchen Qual Num,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sal,Functional_Sev,Functional_Typ
10,483,504,0,NA,2,Twnhs,TA,No,0.0,0.0,TA,96.0,387.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,264.0,1.0,TA,Unf,TA,Detchd,1971.0,987,1,GasA,TA,1044,1,TA,Lvl,Gtl,1680,Inside,21.0,Reg,0,160,RM,232.0,BrkFace,NA,0,7,0,5,6,527451290,Y,0,NA,CompShg,Gable,85400,0,Pave,4,483.0,AllPub,0,1971,1971,2008,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1208,0,0,NA,2,1Fam,TA,Av,0.0,0.0,Gd,815.0,393.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,632.0,2.0,TA,RFn,TA,Attchd,2005.0,1208,0,GasA,Ex,2752,1,Gd,Lvl,Gtl,7488,Inside,64.0,IR1,0,20,RL,0.0,None,NA,0,2,58,5,7,906380150,Y,0,NA,CompShg,Gable,183600,0,Pave,6,1208.0,AllPub,105,2005,2005,2006,3,4,3,3,3,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,1288,728,0,NA,4,1Fam,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,Y,Feedr,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NA,TA,1,PConc,1,576.0,2.0,TA,Unf,TA,Attchd,1900.0,2016,0,GasA,Ex,807,1,TA,Bnk,Gtl,26400,FR2,120.0,Reg,0,70,RL,0.0,None,NA,0,6,0,7,5,906226060,P,0,NA,CompShg,Gable,131000,0,Pave,7,0.0,AllPub,0,1880,2007,2009,0,0,3,3,3,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,962,645,0,Pave,3,Twnhs,TA,No,1.0,0.0,Gd,147.0,813.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,NA,NA,0,PConc,2,480.0,2.0,TA,Unf,TA,Detchd,2000.0,1607,1,GasA,Ex,1177,1,Gd,Lvl,Gtl,2645,Inside,24.0,Reg,0,160,FV,456.0,BrkFace,NA,0,12,0,5,8,533236070,Y,0,NA,CompShg,Gable,200000,0,Pave,7,960.0,AllPub,169,1999,2000,2008,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,1361,0,0,NA,3,1Fam,TA,Av,0.0,0.0,Gd,1327.0,24.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,610.0,2.0,TA,RFn,TA,Attchd,2007.0,1361,0,GasA,Ex,1480,1,Gd,Lvl,Gtl,9627,Inside,74.0,Reg,0,20,RL,0.0,None,NA,0,6,50,5,7,907418040,Y,0,NA,CompShg,Gable,193000,0,Pave,6,1351.0,AllPub,0,2007,2007,2008,3,4,3,3,3,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,1430,0,0,NA,3,1Fam,TA,Av,0.0,0.0,Ex,1430.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,624.0,2.0,TA,RFn,TA,Attchd,2004.0,1430,0,GasA,Ex,324,1,Gd,Lvl,Gtl,10114,Inside,93.0,Reg,0,20,RL,0.0,None,NA,0,3,0,5,5,923202105,Y,0,NA,CompShg,Gable,173500,0,Pave,7,1430.0,AllPub,0,2004,2005,2010,3,5,3,3,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,624,720,0,Grvl,4,1Fam,TA,No,0.0,0.0,TA,624.0,0.0,0.0,Unf,Unf,N,Norm,Norm,SBrkr,96,TA,TA,AsbShng,AsbShng,NA,NA,0,BrkTil,1,513.0,3.0,Fa,Unf,Fa,Detchd,1916.0,1344,0,GasA,Fa,1311,1,TA,Lvl,Gtl,4571,Inside,34.0,Reg,0,70,RM,0.0,None,NA,0,5,0,5,5,902301140,Y,0,NA,CompShg,Gable,98000,0,Pave,7,624.0,AllPub,0,1916,1950,2008,3,3,2,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1121,0,0,NA,3,1Fam,TA,No,1.0,0.0,TA,470.0,651.0,0.0,Rec,Unf,Y,Feedr,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,NA,0,PConc,1,480.0,2.0,TA,Unf,TA,Detchd,1963.0,1121,0,GasA,TA,770,1,TA,Lvl,Gtl,8816,Corner,80.0,Reg,0,20,RL,0.0,None,NA,0,6,80,6,5,905101490,Y,0,NA,CompShg,Gable,139000,0,Pave,5,1121.0,AllPub,0,1963,1963,2009,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,1285,0,0,NA,3,1Fam,TA,No,0.0,0.0,TA,660.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,528.0,2.0,TA,RFn,TA,Attchd,1977.0,1285,1,GasA,Ex,2063,1,TA,Lvl,Gtl,8197,Inside,71.0,Reg,0,20,RL,148.0,BrkFace,NA,0,4,0,5,6,905107140,Y,0,NA,CompShg,Gable,143500,0,Pave,7,660.0,AllPub,138,1977,1977,2007,3,3,3,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19,764,783,0,NA,3,1Fam,TA,Mn,0.0,0.0,Gd,732.0,24.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,614.0,2.0,TA,Unf,TA,Attchd,2009.0,1547,1,GasA,Ex,69,1,Gd,Lvl,Gtl,8640,Inside,72.0,Reg,0,60,FV,0.0,None,NA,0,6,45,5,7,528458070,Y,0,NA,CompShg,Gable,215200,0,Pave,7,756.0,AllPub,169,2009,2009,2010,3,4,3,3,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,894,0,0,NA,3,1Fam,TA,No,0.0,0.0,Gd,402.0,492.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NA,Po,1,CBlock,1,450.0,2.0,TA,Fin,TA,Attchd,1968.0,894,0,GasA,Gd,2062,1,TA,Lvl,Gtl,8724,Inside,109.0,Reg,0,20,RL,0.0,None,NA,0,5,0,5,5,905106150,Y,0,NA,CompShg,Gable,129000,0,Pave,5,894.0,AllPub,0,1968,1968,2007,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21,1659,0,0,NA,2,TwnhsE,TA,No,1.0,0.0,Gd,343.0,1158.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NA,Ex,1,PConc,2,499.0,2.0,TA,Fin,TA,Attchd,2000.0,1659,0,GasA,Ex,351,1,Ex,Lvl,Gtl,5664,Inside,40.0,IR1,0,120,RL,0.0,None,NA,0,10,59,5,8,527131030,Y,0,NA,CompShg,Gable,278000,0,Pave,5,1501.0,AllPub,212,2000,2000,2009,3,4,3,3,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,1209,1044,0,NA,3,1Fam,TA,Av,0.0,0.0,Ex,1209.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NA,Gd,1,PConc,2,575.0,2.0,TA,Fin,TA,Attchd,2005.0,2253,1,GasA,Ex,2393,1,Ex,Lvl,Gtl,12867,Corner,103.0,IR1,0,60,RL,98.79773063640849,NA,NA,0,7,142,5,8,528142010,Y,0,NA,CompShg,Gable,344133,0,Pave,8,1209.0,AllPub,243,2005,2006,2006,3,5,3,3,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,1187,0,0,NA,3,1Fam,TA,No,1.0,0.0,Gd,233.0,935.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,GdPrv,NA,0,PConc,2,420.0,2.0,TA,Fin,TA,Attchd,1992.0,1187,0,GasA,Ex,12,1,TA,Lvl,Gtl,7980,Inside,68.87899941826643,IR1,0,20,RL,0.0,None,Shed,500,3,21,7,6,527165230,Y,0,NA,CompShg,Gable,185000,0,Pave,6,1168.0,AllPub,483,1992,2007,2010,3,4,3,3,4,3,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,1056,0,0,NA,3,2fmCon,TA,Mn,1.0,0.0,TA,0.0,1056.0,0.0,Rec,Unf,N,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,1,572.0,2.0,TA,Fin,TA,Attchd,1955.0,1056,0,GasA,TA,2339,1,TA,Bnk,Gtl,34650,Inside,100.0,Reg,0,190,RL,0.0,None,NA,0,1,0,5,5,527250040,Y,0,NA,CompShg,Hip,145000,0,Pave,5,1056.0,AllPub,264,1955,1955,2006,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,1453,0,0,NA,3,1Fam,TA,No,1.0,0.0,TA,141.0,1312.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,GdPrv,TA,1,CBlock,2,530.0,2.0,TA,RFn,TA,Attchd,1961.0,1453,0,GasA,Ex,624,1,TA,Lvl,Gtl,10573,Corner,92.0,IR1,0,20,RL,3.0,BrkFace,NA,0,4,49,6,6,535104120,Y,0,NA,CompShg,Hip,187500,288,Pave,6,1453.0,AllPub,0,1961,1961,2009,3,3,3,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,894,0,0,NA,3,1Fam,TA,No,1.0,0.0,TA,224.0,553.0,117.0,GLQ,BLQ,Y,RRAe,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,MnPrv,Gd,1,CBlock,1,336.0,1.0,TA,Unf,TA,Detchd,1973.0,894,0,GasA,Ex,86,1,TA,Lvl,Gtl,8450,Inside,65.0,Reg,0,20,RL,0.0,None,NA,0,4,144,8,5,532376160,Y,0,NA,CompShg,Gable,138500,0,Pave,5,894.0,AllPub,416,1965,2009,2010,3,3,3,3,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27,1265,673,0,Grvl,4,1Fam,TA,No,0.0,0.0,TA,336.0,606.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,WdShing,Wd Shng,NA,Gd,1,CBlock,2,240.0,1.0,TA,Unf,TA,Detchd,1937.0,1938,0,GasA,Ex,1534,1,Gd,HLS,Mod,11700,Inside,68.87899941826643,IR1,0,50,RL,0.0,None,NA,0,7,40,6,5,909277040,Y,0,NA,CompShg,Gable,198000,0,Pave,7,942.0,AllPub,0,1937,1995,2008,3,3,3,3,3,3,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,1034,957,0,NA,4,2fmCon,TA,No,0.0,0.0,TA,957.0,0.0,0.0,Unf,Unf,N,Feedr,Norm,SBrkr,133,Gd,TA,VinylSd,VinylSd,NA,NA,0,CBlock,2,0.0,0.0,NA,NA,NA,NA,1978.6775193798449,1991,0,GasA,Fa,2243,2,TA,Lvl,Gtl,8250,Inside,75.0,Reg,0,190,C (all),0.0,None,NA,0,6,0,6,5,911103060,N,0,NA,CompShg,Gable,119600,0,Pave,9,957.0,AllPub,0,1895,2006,2007,3,3,0,0,4,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,672,252,0,NA,3,1Fam,TA,Mn,0.0,0.0,TA,672.0,0.0,0.0,Unf,Unf,Y,Artery,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,MnPrv,Po,1,CBlock,1,576.0,2.0,TA,Unf,TA,Detchd,2003.0,924,0,GasA,Ex,1957,1,TA,Lvl,Gtl,8064,Corner,60.0,Reg,0,50,RL,0.0,None,Shed,2000,7,0,7,5,535450190,Y,0,NA,CompShg,Gable,122900,0,Pave,6,672.0,AllPub,0,1949,2006,2007,3,3,3,3,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
